StockCode,Description,Category,UnitPrice
10000,VINTAGE CANDLE HOLDER,Home Decor,5.56
10001,VINTAGE CANDLE HOLDER SMALL,Home Decor,4.24
10002,VINTAGE CANDLE HOLDER BLUE,Home Decor,3.78
10003,HANGING HEART DECORATION LARGE,Home Decor,2.9
10004,HANGING HEART DECORATION,Home Decor,3.67
10005,HANGING HEART DECORATION GREEN,Home Decor,5.41
10006,WOODEN PHOTO FRAME,Home Decor,11.45
10007,WOODEN PHOTO FRAME LARGE,Home Decor,11.27
10008,WOODEN PHOTO FRAME RED,Home Decor,7.74
10009,METAL WALL CLOCK LARGE,Home Decor,12.62
10010,METAL WALL CLOCK BLUE,Home Decor,2.58
10011,CERAMIC VASE SET SMALL,Home Decor,7.78
10012,STRING LIGHT GARLAND RED,Home Decor,14.47
10013,STRING LIGHT GARLAND SMALL,Home Decor,6.71
10014,WICKER STORAGE BASKET GREEN,Home Decor,3.71
10015,RUSTIC MIRROR FRAME LARGE,Home Decor,12.59
10016,RUSTIC MIRROR FRAME BLUE,Home Decor,11.62
10017,SCENTED REED DIFFUSER,Home Decor,9.4
10018,SCENTED REED DIFFUSER GREEN,Home Decor,12.87
10019,SCENTED REED DIFFUSER SMALL,Home Decor,10.23
10020,RETRO ENAMEL MUG LARGE,Kitchen,18.06
10021,RETRO ENAMEL MUG RED,Kitchen,2.58
10022,FLORAL TEA SET BLUE,Kitchen,24.65
10023,BAMBOO CUTTING BOARD,Kitchen,10.43
10024,CAST IRON SKILLET SMALL,Kitchen,5.32
10025,CAST IRON SKILLET BLUE,Kitchen,9.85
10026,GLASS STORAGE JARS SET BLUE,Kitchen,14.05
10027,GLASS STORAGE JARS SET,Kitchen,7.25
10028,GLASS STORAGE JARS SET RED,Kitchen,12.36
10029,HERB GARDEN PLANTER SMALL,Kitchen,6.66
10030,HERB GARDEN PLANTER LARGE,Kitchen,9.12
10031,COPPER MEASURING CUPS RED,Kitchen,20.81
10032,VINTAGE RECIPE BOOK STAND GREEN,Kitchen,3.06
10033,VINTAGE RECIPE BOOK STAND BLUE,Kitchen,22.96
10034,PERSONALISED BIRTHDAY CARD SMALL,Gifts & Cards,8.16
10035,PERSONALISED BIRTHDAY CARD BLUE,Gifts & Cards,5.26
10036,PERSONALISED BIRTHDAY CARD RED,Gifts & Cards,11.05
10037,GIFT WRAP SET ASSORTED RED,Gifts & Cards,2.41
10038,GIFT WRAP SET ASSORTED BLUE,Gifts & Cards,9.16
10039,RIBBON BUNDLE PACK BLUE,Gifts & Cards,10.86
10040,RIBBON BUNDLE PACK LARGE,Gifts & Cards,5.3
10041,RIBBON BUNDLE PACK GREEN,Gifts & Cards,3.3
10042,THANK YOU CARDS PACK 10 LARGE,Gifts & Cards,6.35
10043,MINI GIFT BAGS ASSORTED,Gifts & Cards,2.55
10044,KRAFT PAPER ROLL SMALL,Gifts & Cards,5.56
10045,LUXURY TISSUE PAPER SET GREEN,Gifts & Cards,5.11
10046,WAX SEAL STAMP KIT LARGE,Gifts & Cards,11.68
10047,WAX SEAL STAMP KIT BLUE,Gifts & Cards,10.45
10048,WOODEN PUZZLE ANIMALS SMALL,Toys & Games,22.46
10049,RETRO TIN TOY CAR LARGE,Toys & Games,6.01
10050,RETRO TIN TOY CAR BLUE,Toys & Games,14.74
10051,RETRO TIN TOY CAR SMALL,Toys & Games,15.25
10052,PLUSH BEAR COLLECTION SMALL,Toys & Games,16.71
10053,PLUSH BEAR COLLECTION BLUE,Toys & Games,5.87
10054,PLUSH BEAR COLLECTION RED,Toys & Games,19.88
10055,CARD GAME FAMILY FUN LARGE,Toys & Games,7.13
10056,CARD GAME FAMILY FUN SMALL,Toys & Games,23.59
10057,CARD GAME FAMILY FUN RED,Toys & Games,17.56
10058,CLAY MODELLING KIT,Toys & Games,16.19
10059,CLAY MODELLING KIT LARGE,Toys & Games,6.02
10060,CLAY MODELLING KIT BLUE,Toys & Games,12.8
10061,FOAM DART BLASTER RED,Toys & Games,9.5
10062,FOAM DART BLASTER,Toys & Games,18.32
10063,SPIRAL NOTEBOOK A5,Stationery,6.03
10064,BALLPOINT PEN SET 12 LARGE,Stationery,6.28
10065,STICKY NOTE PADS PACK SMALL,Stationery,4.14
10066,DESK ORGANISER BAMBOO RED,Stationery,7.74
10067,DESK ORGANISER BAMBOO BLUE,Stationery,7.48
10068,DESK ORGANISER BAMBOO GREEN,Stationery,6.2
10069,WASHI TAPE COLLECTION RED,Stationery,7.96
10070,WASHI TAPE COLLECTION BLUE,Stationery,5.43
10071,WASHI TAPE COLLECTION GREEN,Stationery,3.87
10072,FOUNTAIN PEN GIFT SET GREEN,Stationery,2.3
10073,FOUNTAIN PEN GIFT SET,Stationery,3.13
10074,FOUNTAIN PEN GIFT SET RED,Stationery,4.97
10075,CERAMIC PLANT POT SET LARGE,Garden,10.83
10076,SEED STARTER KIT SMALL,Garden,23.56
10077,GARDEN TOOL SET MINI,Garden,32.07
10078,BUTTERFLY WIND SPINNER,Garden,11.38
10079,BUTTERFLY WIND SPINNER LARGE,Garden,24.74
10080,SOLAR LIGHT STAKES 6PK LARGE,Garden,8.1
10081,BIRD FEEDER HANGING LARGE,Garden,28.32
10082,BIRD FEEDER HANGING GREEN,Garden,29.03
10083,BIRD FEEDER HANGING RED,Garden,9.9
10084,FAIR ISLE KNIT SCARF SMALL,Clothing,22.24
10085,CANVAS TOTE BAG PRINTED GREEN,Clothing,39.55
10086,CANVAS TOTE BAG PRINTED SMALL,Clothing,7.17
10087,WOOL FELT HAT SMALL,Clothing,21.1
10088,WOOL FELT HAT,Clothing,18.57
10089,WOOL FELT HAT LARGE,Clothing,39.47
10090,LINEN APRON WITH POCKET RED,Clothing,12.61
10091,COTTON SLEEP MASK SET RED,Clothing,12.34
10092,COTTON SLEEP MASK SET GREEN,Clothing,23.51
